,trade_date,open,low,close,pre_close,change,high
669,20160819,3.42,3.41,3.43,3.42,0.01,3.43
670,20160818,3.43,3.41,3.42,3.44,-0.02,3.45
671,20160817,3.43,3.41,3.44,3.45,-0.01,3.45
672,20160816,3.56,3.41,3.45,3.56,-0.11,3.57
673,20160815,3.5,3.49,3.56,3.5,0.06,3.6
674,20160812,3.39,3.38,3.5,3.4,0.1,3.51
675,20160811,3.35,3.35,3.4,3.35,0.05,3.41
676,20160810,3.35,3.35,3.35,3.36,-0.01,3.36
677,20160809,3.34,3.33,3.36,3.34,0.02,3.36
678,20160808,3.33,3.32,3.34,3.33,0.01,3.35
